"site","mcd","lower","higher"
"41SM56","1116.66666666667","1088.63597239689","1142.65654460991"
"41SM55","1250","1250","1250"
"41SM77","1548.75","1524.23957898662","1578.37266591134"
"41SM90","1530.625","1524.73976094697","1536.35717782854"
"41SM73","1206.25","1020.95820450121","1391.54179549879"
"41SM93","1538.5","1533.40777062575","1543.59222937425"
"41SM151","1540","1540","1540"
"41SM158","1532.5","1521.94022334129","1544.5903889036"
"41SM249","1535","1526.03778525272","1542.53364331871"
"41SM150","1346.66666666667","1249.98515438826","1441.37538982942"
"41SM355","1540","1540","1540"
"41SM2","1525","1525","1525"
"41HE114","1535.26315789474","1530.21162037858","1539.54133343453"
"41HE4","1532.5","1526.65644967028","1540.33334624809"
"41HE75","1531.66666666667","1526.17813934759","1536.67900350956"
"41HE78","1525","1525","1525"
"41HE82","1540","1540","1540"
"41HE7","1528.75","1522.9023089696","1535.36299715285"
"41CE4","1532.14285714286","1528.12000257991","1535.61177584575"
"41CE12","1589.13461538462","1564.53353330895","1612.72313859058"
"41CE14","1528.57142857143","1527.48004294818","1529.86689582733"
"41CE15","1601.66666666667","1493.87455573449","1734.96898168047"
"41CE17","1530.19230769231","1527.89503881602","1532.67795961412"
"41CE19","1076.27272727273","1057.27011314261","1095.2289592136"
"41CE23","1535","1528.42575739434","1540.34975280974"
"41CE25","1547","1521.52407960115","1569.2106142764"
"41CE421","1525","1525","1525"
"41CE6","1645.83333333333","1573.48296388091","1722.94560754766"
"41AN1","1532.75862068966","1530.2528184219","1535.72888460414"
"41AN13","1692.69230769231","1646.1736531421","1733.63796381237"
"41AN14","1527.72727272727","1524.59993271757","1530.40934372028"
"41AN16","1525","1525","1525"
"41AN18","1532.5","1522.28538215852","1539.95951580066"
"41AN184","1596.66666666667","1490.52324975497","1696.95974344231"
"41AN2","1555.625","1520.51220562823","1583.0592229432"
"41AN21","1525","1525","1525"
"41AN26","1716.11111111111","1690.69049181485","1744.13188157895"
"41AN32","1538.75","1512.55510351963","1565.91428423548"
"41AN34","1540.27777777778","1518.92996082156","1562.46459700157"
"41AN38","1528.75","1524.90038965833","1532.85471238249"
"41AN39","1529.28571428571","1524.95799795243","1535.01284752862"
"41AN44","1535.90909090909","1531.09076329552","1540.72741852267"
"41AN48","1532.5","1524.08261937322","1543.06023776964"
"41AN53","1525","1525","1525"
"41AN54","1545.71428571429","1520.00449242914","1569.17918104025"
"41AN56","1540","1540","1540"
"41AN57","1525","1525","1525"
"41AN67","1525","1525","1525"
"41AG66","1250","1250","1250"
