"site","mcd","lower","higher"
"41SM77","1548.75","1521.25227191736","1571.93522808264"
"41SM90","1530.625","1523.7147604585","1536.4414895415"
"41SM93","1538.5","1533.00030435665","1543.49969564335"
"41SM150","1346.66666666667","1242.80230844153","1458.58658044736"
"41HE114","1535.26315789474","1532.44201971798","1539.79482238729"
"41HE75","1531.66666666667","1526.62555250903","1536.98555860208"
"41CE4","1532.14285714286","1527.97546013158","1536.4888255827"
"41CE12","1589.13461538462","1564.05847746356","1617.231586639"
"41CE14","1528.57142857143","1527.54540051797","1530.20459948203"
"41CE17","1530.19230769231","1527.85098499247","1532.38939962292"
"41CE19","985.818181818182","947.607389553501","1015.63503468892"
"41CE23","1535","1528.36431072861","1542.88568927139"
"41CE25","1547","1529.41153299421","1561.83846700579"
"41CE6","1645.83333333333","1565.21279461267","1742.14831649844"
"41AN1","1532.75862068966","1529.3229183838","1536.53915058172"
"41AN13","1692.69230769231","1636.69217182105","1744.36552048665"
"41AN14","1527.72727272727","1524.13138725545","1531.43679456273"
"41AN2","1555.625","1527.91856361741","1583.48768638259"
"41AN26","1716.11111111111","1689.71615051246","1739.85175072211"
"41AN32","1538.75","1517.06435479235","1557.81064520765"
"41AN34","1540.27777777778","1516.66913997114","1564.16419336219"
"41AN38","1528.75","1525.22753709396","1532.68912957271"
"41AN44","1535.90909090909","1532.1057382328","1539.48517085811"
"41AN54","1545.71428571429","1510.31928992386","1580.57356721899"
